Catalog Number;Collectors;Collector Number;Start Date;Start Date Precision;Pais;Provincia;Distrito ou Municipio;Locality Name;Latitude1;Longitude1;Collection;Determiner;Kingdom;phylum;class;order;family;genus;Full Name;Species Author;subspecies Author;variety Author
LISC032455;A.R.Torre;5584;25/06/1943;1;Mozambique;Zambezia;Ile;Ile, montes de Ile.;-16,024167;37,206111;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis brachiata;Thunb.;;
LISC032452;A.R.Torre;597;31/07/1934;1;Mozambique;Niassa;Mandimba;Amaramba, Mandimba;-14,3520671;35,6525673;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis brachiata;Thunb.;;
LISC032453;A.R.Torre;5143;09/04/1943;1;Mozambique;Zambezia;Gúruè;Gúruè, serra de Gúruè, base do pico Namuli;-15,374166;37,040556;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis brachiata;Thunb.;;
LISC015241;F.A.Mendonça;1113;29/10/1942;1;Mozambique;C.Delgado;Mecúfi;Entre Mecufi e o Lúrio;-13,358184;40,543113;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Cleomaceae;Gynandropsis;Gynandropsis gynandra;(L.) Briq.;;
LISC015243;F.A.Mendonça;3837;01/03/1948;1;Mozambique;Sofala;Nhamatanda;Vila Machado, arredores de Lamego;-19,3188887;34,2852745;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Cleomaceae;Gynandropsis;Gynandropsis gynandra;(L.) Briq.;;
LISC015244;F.A.Mendonça;4457;07/06/1948;1;Mozambique;Sofala;Nhamatanda;Vila Machado (Dondo), arredores da estação;-19,274636;34,210247;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Cleomaceae;Gynandropsis;Gynandropsis gynandra;(L.) Briq.;;
LISC015245;A.R.Torre;2422;14/12/1940;1;Mozambique;Gaza;Cidade de Xai-Xai;Vila de João Belo;-25,0519438;33,6441689;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Cleomaceae;Gynandropsis;Gynandropsis gynandra;(L.) Briq.;;
LISC015246;A.R.Torre;2422;14/12/1940;1;Mozambique;Gaza;Cidade de Xai-Xai;Vila de João Belo;-25,0519438;33,6441689;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Brassicales;Cleomaceae;Gynandropsis;Gynandropsis gynandra;(L.) Briq.;;
LISC032454; A.R. Torre;5143;09/04/1943;1;Mozambique;Zambezia;Gúruè;Serra do Gúruè, prox. do pico Namuli;-15,374166;37,040556;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis brachiata;Thunb.;;
LISC032457;J.G.Garcia;896;05/04/1948;1;Mozambique;Manica;Manica;Chimoio, Serra de Garuso;-18,9450006;33,1511078;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis brachiata;Thunb.;;
LISC032458;J.G.Garcia;896;05/04/1948;1;Mozambique;Manica;Manica;Chimoio, Serra de Garuso;-18,9450006;33,1511078;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis brachiata;Thunb.;;
LISC032459;A.R.Torre;6788;20/07/1944;1;Mozambique;Gaza;;Entre Vila João Belo e Chibuto;-24,863816;33,584353;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis grata;Wall.;;
LISC032460;A.R.Torre;6788;20/07/1944;1;Mozambique;Gaza;;Entre Vila João Belo e Chibuto;-24,863816;33,584353;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis grata;Wall.;;
LISC032461;A.R.Torre;5739;31/07/1943;1;Moçambique;Zambezia;Maganja da Costa;Maganja da Costa;-17,311111;37,514722;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis viridiflora;Bertol.;;
LISC032462;A.R.Torre;5739;31/07/1943;1;Moçambique;Zambezia;Maganja da Costa;Maganja da Costa;-17,311111;37,514722;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis viridiflora;Bertol.;;
LISC032463;A.R.Torre;4491;04/08/1942;1;Moçambique;Zambezia;Mopeia;Entre Mopeia e Águas Quentes;-17,694387;35,528675;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis grata;Wall.;;
LISC032464;A.R.Torre;4491;04/08/1942;1;Moçambique;Zambezia;Mopeia;Entre Mopeia e Águas Quentes;-17,694387;35,528675;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis grata;Wall.;;
LISC032465;A.R.Torre;4430;27/06/1942;1;Moçambique;Zambezia;Mopeia;Entre Marral e Mopeia;-17,871436;36,014323;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis viridiflora;Bertol.;;
LISC032466;A.R.Torre;4430;27/06/1942;1;Moçambique;Zambezia;Mopeia;Entre Marral e Mopeia;-17,871436;36,014323;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis viridiflora;Bertol.;;
LISC032467;A.R.Torre;2852;16/06/1941;1;Moçambique;Tete;Moatize;Entre Tete e Zóbuè.;-15,874336;34,012398;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis grata;Wall.;;
LISC032468;F.A.Mendonça;S.N.;03/07/1948;1;Mozambique;Província de Maputo;Matutuíne;Maputo, Salamanga.;-26,4752779;32,6483326;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematis viridiflora;Bertol.;;
LISC032469;J.G.Garcia;491;03/03/1948;1;Mozambique;Manica;Manica;Chimoio, Garuso;-18,9827766;33,1680527;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032470;J.G.Garcia;491;03/03/1948;1;Mozambique;Manica;Manica;Chimoio, Garuso;-18,9827766;33,1680527;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032471;J.G.Garcia;491;03/03/1948;1;Mozambique;Manica;Manica;Chimoio, Garuso;-18,9827766;33,1680527;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032472;J.G.Garcia;717A;25/03/1948;1;Mozambique;Manica;Manica;Macequece, Serra de Vumba;-18,9616671;32,8824987;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032473; J.G.Garcia;717;25/03/1948;1;Mozambique;Manica;Manica;Macequece, Serra de Vumba;-18,9616671;32,8824987;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032474;J.G.Garcia;717;25/03/1948;1;Mozambique;Manica;Manica;Macequece, Serra de Vumba;-18,9616671;32,8824987;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032475;F.A.Mendonça;3636;07/01/1948;1;Mozambique;Manica;Manica;Macequece, Serra de Vumba;-18,9616671;32,8824987;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032476;F.A.Mendonça;4258;15/05/1948;1;Mozambique;Tete;Macanga;Macanga, serra de Pandalanjala;-15,2527785;33,749445;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032477;A.R.Torre;4399;12/06/1942;1;Moçambique;Tete;Moatize;Zóbuè;-15,595109;34,415423;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032478;A.R.Torre;3256;12/08/1941;1;Moçambique;Tete;Marávia;Marávia, Vila Vasco da Gama;-14,9013901;32,2541676;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032479;A.Rocha da Torre;24;03/1934;2;Moçambique;Niassa;Cidade de Lichinga;Metonia, Vila Cabral;-13,3127785;35,2405567;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032480;A.Rocha da Torre;5020;01/04/1943;1;Moçambique;Zambezia;Ile;Entre Mugêba e Ile;-16,285956;37,199015;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032481;A.Rocha da Torre;5020;01/04/1943;1;Moçambique;Zambezia;Ile;Entre Mugêba e Ile;-16,285956;37,199015;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032482;F.A.Mendonça;4161;11/05/1948;1;Mozambique;Tete;Tsangano;Entre Metengo-Balame e Vila Mouzinho;-14,807852;34,453321;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis scabiosifolia;(DC.) Hutch.;;
LISC032483;A.Rocha da Torre;34;02/1934;2;Moçambique;Niassa;Lichinga;Planalto da Lichinga;-13,2794437;35,2516651;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis uhehensis;(Engl.) Staner & J.Léonard;;
LISC032484;F.A.Mendonça;S.N.;10/09/1942;1;Mozambique;Niassa;Lichinga;Entre Vila Cabral e Litunde;-13,307398;35,495239;Herbário;A.W.Exell;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Clematis;Clematopsis uhehensis;(Engl.) Staner & J.Léonard;;
LISC032485;A.Rocha da Torre;6207;22/11/1943;1;Moçambique;Manica;Manica;Macequece, nos montes;-18,9333324;32,8833332;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus pubescens;Thunb.;;
LISC032486;A.Rocha da Torre;6207;22/11/1943;1;Moçambique;Manica;Manica;Macequece, nos montes;-18,9333324;32,8833332;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus pubescens;Thunb.;;
LISC032487;A.Rocha da Torre;2411;14/12/1940;1;Moçambique;Gaza;Xai-Xai;Vila João Belo e Checumbane, nas planicies do vale do Limpopo;-25,017211;33,597627;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus pubescens;Thunb.;;
LISC032488;F.A.Mendonça;2978;20/11/1944;1;Mozambique;Província de Maputo;Matutuíne;Maputo, Catuane;-26,836389;32,284444;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus pubescens;Thunb.;;
LISC032489;F.A.Mendonça;2978;20/11/1944;1;Mozambique;Província de Maputo;Matutuíne;Maputo, Catuane;-26,836389;32,284444;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Ranunculus;Ranunculus pubescens;Thunb.;;
LISC032490; A.Rocha da Torre;5165;09/04/1943;1;Moçambique;Zambezia;Gúruè;Gúruè, no cimo da serra, próximo da base do Pico Namúli.;-15,374166;37,040556;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Thalictrum;Thalictrum rhynchocarpum;Quart.-Dill. & A.Rich. ex A.Rich.;;
LISC032491;A.Rocha da Torre;5165;09/04/1943;1;Moçambique;Zambezia;Gúruè;Gúruè, no cimo da serra, próximo da base do Pico Namúli.;-15,374166;37,040556;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Thalictrum;Thalictrum rhynchocarpum;Quart.-Dill. & A.Rich. ex A.Rich.;;
LISC032492;A.Rocha da Torre;5165;09/04/1943;1;Moçambique;Zambezia;Gúruè;Gúruè, no cimo da serra, próximo da base do Pico Namúli.;-15,374166;37,040556;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;Thalictrum;Thalictrum rhynchocarpum;Quart.-Dill. & A.Rich. ex A.Rich.;;
LISC035101;A.Rocha da Torre ;1183;15/12/1936;1;Moçambique;Nampula;Cidade de Nampula;Nampula;-15,1197219;39,2647209;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Dilleniales;Dilleniaceae;Tetracera;Tetracera boiviniana;Baill.;;
LISC035102;A.Rocha da Torre;4641;20/10/1942;1;Moçambique;Zambezia;;Maganja da Costa, entre Mugêba e Mocubela.;-16,741214;37,49537;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Dilleniales;Dilleniaceae;Tetracera;Tetracera boiviniana;Baill.;;
LISC035103;A.Rocha da Torre;4983;23/03/1943;1;Moçambique;Zambezia;Maganja da Costa;Entre Nhamacurra e Maganja da Costa;-17,16636;37,44915;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Dilleniales;Dilleniaceae;Tetracera;Tetracera boiviniana;Baill.;;
LISC035104;A.Rocha da Torre;4983;23/03/1943;1;Moçambique;Zambezia;Maganja da Costa;Entre Nhamacurra e Maganja da Costa;-17,16636;37,44915;Herbário;A.R.Torre;Plantae;Tracheophyta;Magnoliopsida;Dilleniales;Dilleniaceae;Tetracera;Tetracera boiviniana;Baill.;;
LISC035106;F.A.Mendonça;819;17/10/1942;1;Mozambique;C.Delgado;Montepuez;Montepuez, próx. da sede de circunscrição;-13,1255555;38,9997234;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035107;F.A.Mendonça;819;17/10/1942;1;Mozambique;C.Delgado;Montepuez;Montepuez, próx. da sede de circunscrição;-13,1255555;38,9997234;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035108;F.A.Mendonça;135;05/09/1942;1;Mozambique;Manica;Gondola;Chimoio, estrada de Mavita, a 15 km de Vila Pery;-19,213837;33,395531;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035109;F.A.Mendonça;135;05/09/1942;1;Mozambique;Manica;Gondola;Chimoio, estrada de Mavita, a 15 km de Vila Pery;-19,213837;33,395531;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035111;A.Rocha da Torre;991;07/11/1936;1;Moçambique;Nampula;;Mogovolas, entre Muatua e Angoche, estrada de António Enes;-15,954155;39,855461;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035112;A.Rocha da Torre;997;08/11/1936;1;Moçambique;Nampula;Angoche;Missão de Malatana, Angoche;-16,191944;39,933056;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035113;A.Rocha da Torre;1943;13/10/1940;1;Moçambique;Província de Maputo;Cidade de Maputo;Lourenço Marques, arredores de Lourenço Marques;-25,966445;32,577741;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035110;A.Rocha da Torre;984;07/11/1936;1;Moçambique;Nampula;;Mogovolas, de Corrane a Muatua, estrada de Corrane;-15,602267;39,618162;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035114;A.Rocha da Torre;2500;24/01/1941;1;Moçambique;Gaza;Bilene-Macia;Entre Bilene e Vila João Belo;-24,948219;33,263708;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035115;A.Rocha da Torre;3454;23/09/1941;1;Moçambique;Zambezia;Lugela;Lugela, próx. de Munhamade;-16,5913897;36,9747238;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035117;A.Rocha da Torre;3493;25/09/1941;1;Moçambique;Zambezia;Namarroi;Entre Ile e Nhamarroe;-16,0065281;37,0143052;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035118;F.A.Mendonça;947;19/10/1942;1;Mozambique;C.Delgado;Mueda;Planalto de Macondes, Mueda;-11,6627784;39,5505543;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035119;F.A.Mendonça;894;17/10/1942;1;Mozambique;C.Delgado;Montepuez;Montepuez, próx. da sede de circunscrição;-13,1255555;38,9997234;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035120;F.A.Mendonça;S.N.;12/1942;2;Mozambique;Província de Maputo;Cidade de Maputo;Lourenço Marques, Costa do Sol;-25,9130087;32,6333547;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035121;F.A.Mendonça;3710;24/01/1948;1;Mozambique;Manica;Gondola;Chimoio, Gondola, rio Nhamouare;-19,045723;33,848471;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035122;F.A.Mendonça;3580;03/01/1948;1;Mozambique;Manica;Manica;Macequece, Missão de N. Sª. do Rosario de Jecua;-18,9333324;32,8833332;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035123;F.A.Mendonça;2385;07/10/1944;1;Mozambique;Sofala;Gorongosa;Gorogosa, Vila Paiva, sobado Canda;-18,424817;33,966219;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035124;F.A.Mendonça;1228;04/11/1942;1;Mozambique;Nampula;Nampula;Entre Nampula e Ribauè, a 45 km. de Nampula.;-14,988293;38,925649;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035125;F.A.Mendonça;747;10/10/1942;1;Mozambique;Niassa;Lago;Maniamba, Metangula, margens do Lago Niassa;-12,6949997;34,815834;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035126;F.A.Mendonça;1433;13/11/1942;1;Mozambique;Zambezia;Milange;Milange, sobado de Mapinga;-16,2577782;35,7358341;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035127;F.A.Mendonça;1435;17/11/1942;1;Mozambique;Zambezia;Nicoadala;Boror, entre Quelimane e Campo;-17,584802;36,757461;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035128;F.A.Mendonça ;1439;17/11/1942;1;Mozambique;Zambezia;Nicoadala;Boror, estrada Quelimane a Mopeia;-17,535792;36,416264;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035129;F.A.Mendonça;2021;10/09/1944;1;Mozambique;Sofala;Cheringoma;Inhaminga, próx. da estação do C.F. de Inhamitanga;-18,2188902;35,159996;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035130;A.Rocha da Torre;6098;29/10/1943;1;Moçambique;Manica;Báruè;Báruè, Vila Gouveia;-18,0574999;33,1736126;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035131;A.Rocha da Torre;5555A;21/06/1943;1;Moçambique;Zambezia;Ile;Ile;-16,1124762;37,5183181;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035132;A.Rocha da Torre;4926;11/03/1943;1;Moçambique;Zambezia;;Entre Mocuba e Milange;-16,467918;36,383049;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035133;A.Rocha da Torre;4628;20/10/1942;1;Moçambique;Zambezia;;Maganja de Costa, entre Mocuba e Mocubela;-16,716686;37,41312;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035134;A.Rocha da Torre;4479;03/08/1942;1;Moçambique;Zambezia;Morrumbala;Mopeia, Massingire, próx. do hospital de M'bobo;-17,3269444;35,5841675;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035135;A.Rocha da Torre;3668;15/10/1941;1;Moçambique;Zambezia;Mopeia;Entre Mopeia e Quelimane;-17,928776;36,296786;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035136;A.Rocha da Torre;4444;29/07/1942;1;Moçambique;Zambezia;Mopeia;A 20 km de Mopeia, estrada para Águas Quentes.;-17,971457;35,563458;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035137;A.Rocha da Torre;6045;15/10/1943;1;Moçambique;Tete;Tsangano;Angonia, região de Vila Mousinho;-14,7666659;34,3833332;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona nana;Exell;;
LISC035138;F.A.Mendonça;629;03/10/1942;1;Mozambique;Tete;Moatize;Zobuè, monte Zóbuè;-15,61301;34,457854;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035139;A.Rocha da Torre;3355;27/08/1941;1;Moçambique;Tete;;Macanga, do Furancungo a Casula;-15,147837;33,619261;Herbário;M.L.Gonçalves;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Annona;Annona senegalensis;Pers.;;
LISC035140;F.A.Mendonça;4317;18/05/1948;1;Mozambique;Tete;Mutarara;Mutarara, km 148 do C.F. Tete;-16,485128;34,473952;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035141;F.A.Mendonça;3777;08/02/1948;1;Mozambique;Manica;Manica;Chimoio, Bandula, Chibata;-19,0958338;33,265831;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035142;F.A.Mendonça;3817;26/02/1948;1;Mozambique;Sofala;Nhamatanda;Dondo, Lamego, margens do rio Muda;-19,330595;34,318935;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035143;F.A.Mendonça;3303;07/12/1944;1;Mozambique;Inhambane;Zavala;Entre Quissico e Chicomo;-24,65362;34,56812;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035144;F.A.Mendonça;3655;21/01/1948;1;Mozambique;Manica;Gondola;Chimoio, Gondola, Floresta de Nhamissanguere, prox. do rio Nhamouare.;-19,045723;33,848471;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035145;J.G.Garcia;92;07/02/1948;1;Mozambique;Manica;Gondola;Chimoio, Gondola, próximo do rio Nhamissanguere;-19,045989;33,811736;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035146;J.G.Garcia;137;09/02/1948;1;Mozambique;Manica;Manica;Chimoio, estrada do Báruè;-18,951111;33,268611;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035147;J.G.Garcia;597;13/03/1948;1;Mozambique;Manica;Manica;Chimoio, base da serra de Bandula;-19,0116663;33,1433372;Herbário;F.A.Mendonça;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035148;F.A.Mendonça;1436;17/11/1942;1;Mozambique;Zambezia;Nicoadala;Quelimane, Nicuadala;-17,6080561;36,8197231;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
LISC035149;F.A.Mendonça;1862;25/08/1944;1;Mozambique;Província de Maputo;Matutuíne;Maputo, entre Goba e Bela Vista;-26,252771;32,241894;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Magnoliales;Annonaceae;Artabotrys;Artabotrys brachypetalus;Benth.;;
